GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TripFlow API Service,com.tripflow.controller.auth,RestAuthController,48,82,6,6,12,21,6,7,2,5
TripFlow API Service,com.tripflow.dto.shared,PaginatedDTO,0,21,0,0,0,1,0,1,0,1
TripFlow API Service,com.tripflow.service.ai,AIService,12,76,2,2,2,21,2,4,0,4
TripFlow API Service,com.tripflow.service.ai,AIUsageService,36,76,7,5,8,20,6,5,0,5
TripFlow API Service,com.tripflow.service.itinerary,ItineraryDayService,0,67,0,8,0,18,0,7,0,3
TripFlow API Service,com.tripflow.service.itinerary,ActivityService,0,33,0,0,0,11,0,3,0,3
TripFlow API Service,com.tripflow.service.itinerary,ItineraryService,24,374,4,16,8,78,4,20,1,13
TripFlow API Service,com.tripflow.service.itinerary,LocationService,5,49,2,8,1,16,2,5,0,2
TripFlow API Service,com.tripflow.service.itinerary,GeographicPointService,0,83,1,3,0,20,1,7,0,6
TripFlow API Service,com.tripflow.controller.v1,RestStatsController,0,13,0,0,0,5,0,2,0,2
TripFlow API Service,com.tripflow.controller.v1,RestAIController,0,21,0,0,0,7,0,3,0,3
TripFlow API Service,com.tripflow.controller.v1,RestItineraryController,0,62,0,0,0,15,0,6,0,6
TripFlow API Service,com.tripflow.controller.v1,RestUserController,0,75,0,0,0,17,0,7,0,7
TripFlow API Service,com.tripflow.controller,HealthController,0,8,0,0,0,2,0,2,0,2
TripFlow API Service,com.tripflow.model,ExternalImage,35,28,0,0,14,12,6,8,6,8
TripFlow API Service,com.tripflow.model,AIUsage,14,24,0,0,5,9,3,5,3,5
TripFlow API Service,com.tripflow.model,User,82,180,5,9,20,66,15,34,10,32
TripFlow API Service,com.tripflow.dto.auth,AuthStatus,0,15,0,0,0,3,0,1,0,1
TripFlow API Service,com.tripflow.dto.auth,AuthResponse,0,15,0,0,0,1,0,1,0,1
TripFlow API Service,com.tripflow.dto.auth,VerifyAccountRequest,9,0,0,0,1,0,1,0,1,0
TripFlow API Service,com.tripflow.dto.auth,ResendCodeRequest,6,0,0,0,1,0,1,0,1,0
TripFlow API Service,com.tripflow.dto.auth,LoginRequest,0,9,0,0,0,1,0,1,0,1
TripFlow API Service,com.tripflow.model.itinerary,ItineraryDay,11,39,1,3,5,13,4,8,3,7
TripFlow API Service,com.tripflow.model.itinerary,GeographicPoint,28,29,0,0,9,12,4,7,4,7
TripFlow API Service,com.tripflow.model.itinerary,Itinerary,14,121,1,3,6,47,5,27,4,26
TripFlow API Service,com.tripflow.model.itinerary,Location,25,40,6,2,8,12,8,9,4,9
TripFlow API Service,com.tripflow.model.itinerary,Activity,10,42,0,0,4,18,3,12,3,12
TripFlow API Service,com.tripflow.service.auth,AuthService,135,290,5,5,30,68,6,10,2,9
TripFlow API Service,com.tripflow.service.auth,AuthValidator,18,103,7,19,3,24,7,8,0,2
TripFlow API Service,com.tripflow.dto.stats,UserStatsDTO,0,6,0,0,0,1,0,1,0,1
TripFlow API Service,com.tripflow.dto.stats,StatDTO,0,9,0,0,0,1,0,1,0,1
TripFlow API Service,com.tripflow.utils,VerificationUtils,0,14,0,0,0,2,0,2,0,2
TripFlow API Service,com.tripflow.utils,ImageUtils,3,11,0,0,1,2,1,2,1,2
TripFlow API Service,com.tripflow.utils,UnsplashResponseMock,3,7,0,0,1,1,1,1,1,1
TripFlow API Service,com.tripflow.security.jwt,TokenType,0,38,0,0,0,9,0,4,0,4
TripFlow API Service,com.tripflow.security.jwt,UnauthorizedHandlerJwt,0,32,0,0,0,10,0,2,0,2
TripFlow API Service,com.tripflow.security.jwt,JwtRequestFilter,6,57,0,2,3,17,0,3,0,2
TripFlow API Service,com.tripflow.security.jwt,JwtTokenProvider,16,98,2,6,3,24,2,9,1,6
TripFlow API Service,com.tripflow.security,SecurityConfig,0,255,0,0,0,32,0,12,0,12
TripFlow API Service,com.tripflow.security,CustomUserDetailsService,0,45,0,0,0,10,0,3,0,3
TripFlow API Service,com.tripflow.consumer,AIGenerationListener,35,12,2,0,7,5,2,1,1,1
TripFlow API Service,com.tripflow.service,UnsplashService,115,0,12,0,23,0,8,0,2,0
TripFlow API Service,com.tripflow.service,UnsplashService.UnsplashSearchResponse,6,0,0,0,1,0,1,0,1,0
TripFlow API Service,com.tripflow.service,UnsplashService.UnsplashPhotoInternal,15,0,0,0,1,0,1,0,1,0
TripFlow API Service,com.tripflow.service,ExternalImageService,0,45,0,2,0,12,0,4,0,3
TripFlow API Service,com.tripflow.service,KafkaService,5,23,0,0,2,9,1,4,1,4
TripFlow API Service,com.tripflow.service,UserCleanupService,19,31,1,1,3,10,1,2,0,2
TripFlow API Service,com.tripflow.service,UserService,82,359,20,30,16,83,15,29,2,17
TripFlow API Service,com.tripflow.service,StatsService,0,62,0,2,0,13,0,3,0,2
TripFlow API Service,com.tripflow.service,UnsplashService.UnsplashUserInternal,6,0,0,0,1,0,1,0,1,0
TripFlow API Service,com.tripflow,TripflowApplication,5,3,0,0,2,1,1,1,1,1
TripFlow API Service,com.tripflow.mappers,AIMapperImpl,6,55,3,3,3,15,3,3,0,3
TripFlow API Service,com.tripflow.mappers,ItineraryMapperImpl,42,449,19,22,20,135,19,17,0,14
TripFlow API Service,com.tripflow.mappers,ExternalImageMapperImpl,4,28,4,2,1,9,3,2,0,2
TripFlow API Service,com.tripflow.config,AdminConfig,7,24,0,0,2,6,0,2,0,2
TripFlow API Service,com.tripflow.config,OpenApiConfig,0,38,0,0,0,12,0,2,0,2
TripFlow API Service,com.tripflow.config,CorsConfig.new WebMvcConfigurer() {...},0,51,0,0,0,7,0,2,0,2
TripFlow API Service,com.tripflow.config,JpaConfig,0,3,0,0,0,1,0,1,0,1
TripFlow API Service,com.tripflow.config,CorsConfig,0,8,0,0,0,2,0,2,0,2
TripFlow API Service,com.tripflow.model.types,ItineraryStatus,0,27,0,0,0,5,0,1,0,1
TripFlow API Service,com.tripflow.model.types,UserType,0,15,0,0,0,3,0,1,0,1
TripFlow API Service,com.tripflow.model.types,PlanType,0,35,0,0,0,8,0,3,0,3
TripFlow API Service,com.tripflow.exception,EmailAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
TripFlow API Service,com.tripflow.exception,UsernameAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
TripFlow API Service,com.tripflow.controller.advice,GlobalExceptionHandler,4,11,0,0,1,3,1,3,1,3
TripFlow API Service,com.tripflow.dto.user,PublicUserDTO,0,27,0,0,0,1,0,1,0,1
TripFlow API Service,com.tripflow.dto.user,UserMapperImpl,10,114,8,6,3,35,6,5,0,4
TripFlow API Service,com.tripflow.dto.user,RegisterUserRequest,0,15,0,0,0,1,0,1,0,1
